accel_x,accel_y,fsr_1,gyro_z,fsr_3,fsr_2,ultrasonic_1,ultrasonic_2,ultrasonic_3,gyro_x,accel_z,gyro_y,ultrasonic_4
-6292,748,40377,80,45034,41226,2343.179,1207.423,2343.574,4973,17668,81,1208.454
-6060,568,40105,-651,46955,41754,2339.141,1207.594,2338.024,5230,17804,176,1208.66
-6136,544,41498,-665,45291,41770,2339.828,1207.646,2340.67,5253,17840,134,1208.522
-6008,512,39849,-721,46779,42346,2339.622,1207.577,2339.656,5256,17868,152,1208.694
-6040,480,40489,-661,46715,42298,2339.897,1207.457,2339.381,5233,17824,102,1208.797
-6124,544,39609,-693,47291,41978,2338.746,1207.491,2337.801,5234,17796,107,1208.814
-6024,516,34792,-707,48955,42298,2337.886,1207.44,2337.354,5292,17840,67,1208.66
-5972,476,37305,-405,49019,41818,2338.866,1207.474,2337.663,5126,17908,79,1208.625
-6000,456,37689,-696,46395,43002,2338.196,1207.594,2336.598,5241,17968,148,1208.591
-5976,504,38521,-629,45275,43866,2338.454,1207.56,2337.972,5204,17872,151,1208.608
-6016,556,38297,-698,45723,44170,2338.127,1207.457,2337.457,5253,17792,100,1208.677
-6004,476,38121,-664,45115,44330,2338.213,1207.543,2336.718,5245,17868,88,1208.711
-5980,452,36616,-657,47675,44506,2337.526,1207.44,2337.027,5256,17748,63,1208.746
-5972,528,37113,-680,49420,44026,2338.024,1207.629,2336.615,5239,17920,110,1208.471
-5972,516,37849,-677,49147,44234,2337.904,1207.543,2336.22,5259,17940,123,1208.643
-6052,700,35352,-697,49708,44250,2337.938,1207.509,2337.921,5251,17724,91,7.835052
-5964,512,32119,-683,50012,44698,2337.096,1207.491,2336.151,5225,17956,113,8.247422
-5972,536,31847,-704,49932,44602,2338.196,1207.594,2336.237,5272,17868,143,1208.643
-5924,580,33048,-653,49884,44458,2337.268,1207.629,2337.131,5231,17716,128,1208.694
-5964,524,32279,-677,49932,44570,2337.44,1207.715,2336.323,5238,17780,107,1208.643
-5908,508,32583,-681,47483,44458,2337.526,1207.612,2336.117,5223,17768,62,1208.574
-5944,652,31831,-696,48091,45835,2337.526,1207.44,2337.594,5248,17700,173,1208.608
-5888,532,23925,-690,49916,46347,2337.612,1207.56,2336.512,5295,17896,126,1208.574
-5904,612,28534,-658,49596,45179,2337.56,1207.698,2336.186,5231,17924,99,7.010309
-6068,496,32519,-662,48251,44298,2337.302,1207.612,2337.869,5234,17852,134,1208.402
-5948,576,33384,-659,48603,44282,2337.113,1207.698,2336.271,5248,17704,145,8.659794
-6156,484,26262,-795,50668,46011,2337.148,1207.646,2335.859,5385,18020,147,1208.436
-5988,500,28855,-683,51100,46107,2337.079,1207.423,2336.667,5272,17856,202,1208.54
-5872,516,30135,-656,51244,46699,2337.027,1207.594,2335.756,5255,17880,140,1208.488
-5864,520,27542,-668,51276,46779,2337.406,1207.526,2335.704,5233,17876,79,5.120275
-5964,568,28134,-687,51308,47099,2335.808,191.8041,2336.1,5243,17992,114,4.707904
-5932,548,26934,-653,51068,46587,2335.636,187.6117,2335.447,5207,17960,120,5.120275
-5924,412,27494,-679,51196,46875,2335.859,187.5945,175.4811,5234,17848,80,4.707904
-5912,548,26886,-663,51276,47227,2335.979,186.7526,175.9794,5243,17932,94,4.707904
-5928,560,28118,-710,51468,47195,2335.567,187.6289,176.3574,5262,17964,131,4.707904
-5956,424,25606,-699,51388,46827,2335.808,188.4192,175.4467,5229,17960,72,5.137457
-5876,476,28855,-669,51260,46539,2335.326,189.7079,2335.481,5263,17896,136,4.707904
-5916,592,27446,-691,51676,46843,2335.223,1207.56,2334.106,5238,17804,73,4.707904
-5892,512,28598,-707,51388,46299,2335.412,1207.526,2334.725,5232,17956,64,6.030928
-5884,472,31367,-670,50876,46555,2336.409,1207.56,2336.357,5235,17864,143,1208.677
-5924,532,32888,-669,50876,47003,2336.306,1207.68,2335.258,5257,17896,117,6.804123
-5872,432,28182,-665,50012,42234,2336.684,1207.612,2335.0,5244,17836,126,1208.522
-5928,596,25174,-668,49067,44810,2336.254,1207.783,2335.979,5209,17828,74,11.7354
-5960,540,27398,-662,48987,45659,2336.203,1207.801,2335.378,5245,17916,122,15.49828
-5940,548,27638,-665,49628,45659,2336.512,1207.835,2334.811,5243,17788,96,11.66667
-5948,564,27670,-707,49740,45387,2335.636,1207.594,2336.598,5263,17820,120,1208.643
-5976,516,28662,-684,49612,45787,2335.859,1207.715,2335.223,5255,17864,89,1208.574
-5992,528,29783,-680,50044,45835,2336.357,1207.629,2335.172,5260,17896,139,8.127148
-5944,580,33768,-687,49708,45691,2335.928,1207.715,2335.584,5239,17944,84,1208.557
-5984,544,31159,-687,48395,44394,20.84192,1207.663,2335.189,5265,17904,167,1208.729
-5844,580,28182,-704,49948,39033,2336.014,1207.732,2335.258,5224,17820,114,1208.729
-5856,508,17092,-639,50092,29799,2336.117,1207.663,2335.447,5275,17748,64,1208.677
-6072,136,18836,-659,43018,29351,2336.306,1207.646,2335.395,5218,17836,185,1208.66
-6120,128,22485,-703,43226,30887,2336.117,1207.715,2335.309,5274,17860,155,1208.746
-6152,148,25110,-831,44042,30199,2335.55,1207.594,2335.309,5342,17800,73,1208.54
-6056,280,21029,-683,49612,29191,2335.584,1207.68,2334.828,5240,17724,97,8.024055
-6344,556,21317,130,47851,47947,2335.979,187.3368,176.512,5456,18320,-320,1208.952
-5852,356,0,-720,51068,44618,2335.584,192.0275,173.1959,5219,17908,19,6.254295
-5800,400,2416,-751,51564,45099,2335.859,188.1787,174.433,5288,17984,168,5.893471
-5744,388,0,-683,51068,44634,2336.083,186.9416,173.5567,5242,17924,119,1208.557
-5816,364,0,-642,50956,44538,2335.773,181.1168,173.9863,5240,17792,125,1208.488
-5772,388,0,-666,50588,43706,2336.168,1207.629,172.646,5233,17876,104,1208.608
-5704,512,0,-662,50956,45483,2335.894,188.1615,174.7766,5247,17840,115,1208.625
-5804,340,0,-657,50956,44954,2335.601,1207.68,175.1718,5267,18068,134,1208.608
-5820,456,17236,-660,51724,45899,2335.086,189.1237,173.6254,5215,17864,156,12.45704
-5780,372,17444,-740,50988,45435,2335.258,187.3883,174.0378,5293,18076,96,14.17526
-5816,412,17236,-659,51052,45355,2334.45,188.6598,173.6082,5258,18004,88,1208.711
-5896,420,14035,-663,50972,45339,2334.622,187.3539,173.9863,5249,17908,93,1208.797
-5816,380,14867,-658,51004,45403,2334.605,186.9244,174.4673,5236,17772,117,1208.832
-5896,412,14867,-661,50956,45050,2334.794,189.1237,174.0206,5248,17912,124,1209.33
-5892,460,15795,-669,51292,45323,2334.588,188.299,173.1615,5245,17864,146,1208.677
-5828,468,15347,-648,50940,45483,2334.897,187.4742,173.1443,5252,17940,110,1208.54
-5660,328,15539,-657,51116,45819,2335.0,186.1856,174.0034,5250,18084,122,1208.677
-5796,368,15523,-679,50732,45723,2334.141,187.8522,173.5739,5240,17856,121,1208.763
-5760,480,16019,-692,51004,45755,2334.192,188.7113,173.5567,5234,17920,101,1208.729
-5844,420,2720,-675,52076,42282,171.0137,187.8866,173.2646,5219,17880,119,1208.797
-5980,404,7025,-841,22949,41210,141.7698,1207.715,178.1959,5358,17796,203,1208.711
-6052,888,0,314,20741,45579,2334.433,1207.663,177.5945,5752,17892,275,8.127148
-6208,1140,0,-524,20853,45835,2333.66,193.7629,178.9691,5351,17652,63,6.872852
-6132,1188,0,-674,23253,44730,2334.124,192.4399,178.0756,5248,17804,69,6.030928
-6092,1280,0,-398,25846,44010,2334.124,193.8832,134.9485,5150,17676,115,1208.952
-6164,1172,0,-779,26870,43402,2333.643,190.8935,176.9416,5368,17628,-101,1208.832
-6048,1220,0,-692,26726,45243,2333.179,191.3574,177.3539,5230,17760,113,12.45704
-5896,1432,0,-539,27222,45995,2334.209,192.3196,177.5258,5256,17772,41,1208.935
-6012,1256,0,-695,27702,46235,2332.732,1207.783,178.3677,5291,17928,45,1208.935
-5988,1264,0,-665,28566,46843,2332.406,192.5773,176.0653,5256,17912,131,14.12371
-5940,1196,8962,-604,32872,45995,2333.402,1207.766,176.2027,5205,17876,110,1208.625
