accel_x,accel_y,fsr_1,gyro_z,fsr_3,fsr_2,ultrasonic_1,ultrasonic_2,ultrasonic_3,gyro_x,accel_z,gyro_y,ultrasonic_4
-12940,-8472,0,-701,38073,32567,1210.103,2334.381,1208.11,5241,6460,119,2329.364
-13008,-8380,0,-718,36024,30695,1209.88,2330.79,1207.852,5305,6416,94,2328.54
-12916,-8448,0,-704,38041,33112,1210.017,2332.904,1208.007,5425,6396,40,2328.368
-12916,-8412,0,-645,37641,32663,1209.966,2332.01,1207.835,5304,6588,74,2329.003
-12856,-8536,0,-726,35240,30999,1210.017,2334.072,1207.869,5269,6544,146,2330.567
-13072,-8508,0,-667,37817,33208,1209.983,2332.182,1207.801,5199,6536,111,2328.952
-13060,-8504,0,-668,37913,33384,1210.034,2333.076,1207.99,5264,6548,91,2330.172
-12988,-8504,0,-671,35512,30999,1209.983,2333.23,1207.835,5231,6708,102,2330.979
-12940,-8400,0,-694,38041,36104,1209.931,2335.155,1207.973,5284,6516,57,2330.172
-12976,-8504,0,-667,38153,33288,1209.914,2335.533,1207.955,5220,6576,169,2331.46
-12988,-8444,0,-670,36072,31207,1209.966,2331.821,1207.887,5239,6588,100,2329.209
-12992,-8488,0,-696,38265,34088,1209.966,2334.261,1208.127,5220,6580,56,2328.746
-12892,-8456,0,-676,38585,34088,1209.897,2332.801,1208.024,5249,6696,161,2328.076
-12928,-8472,65535,-669,35640,32663,1209.828,2335.429,1208.247,5215,6492,133,2331.048
-13008,-8444,0,-695,38377,34280,1209.897,2333.78,1207.99,5281,6548,110,2330.0
-12912,-8460,0,-683,38585,34472,1210.052,2334.605,1208.196,5222,6576,104,2329.553
-12844,-8388,0,-686,36328,32503,1209.966,2332.732,1208.179,5232,6552,110,2331.426
-12876,-8416,0,-652,38697,34552,1209.948,2334.674,1208.333,5259,6452,66,2330.55
-12924,-8456,0,-647,38697,34648,1209.828,2332.869,1208.041,5248,6504,127,2328.66
-13028,-8504,0,-668,36776,32487,1209.931,2331.752,1208.144,5250,6488,136,2327.766
-12984,-8504,0,-657,38665,34712,1209.759,2332.148,1208.247,5223,6428,111,2327.268
-12956,-8352,0,-679,38905,34616,1209.811,2331.684,1208.093,5266,6476,93,2328.625
-12916,-8568,0,-678,36584,32519,1209.88,2331.237,1208.076,5244,6528,112,2327.56
-12968,-8444,0,-652,38393,36856,1209.931,2332.113,1207.921,5194,6484,68,2326.821
-12944,-8424,0,-644,38713,33848,1210.017,2331.443,1208.076,5159,6536,123,2327.423
-12964,-8404,0,-690,36472,32263,1210.0,2332.045,1208.093,5213,6496,140,2327.68
-12936,-8492,0,-698,39401,34600,1210.052,2331.856,1208.213,5202,6464,139,2327.096
-12860,-8528,0,-679,39017,34744,1210.052,2331.512,1208.127,5200,6620,133,2327.509
-12896,-8564,0,-730,36889,32599,1210.086,2331.409,1208.024,5281,6660,119,2327.474
-13024,-8428,0,-692,39145,34792,1209.897,2331.873,1208.024,5239,6432,106,2327.32
-12924,-8472,0,-668,39161,34808,1210.034,2331.632,1207.955,5264,6540,93,2327.783
-12888,-8520,0,-689,36953,32759,1209.914,2331.357,1207.869,5275,6512,114,2327.045
-12996,-8452,0,-654,39225,34968,1209.845,2331.684,1208.024,5271,6604,99,2327.457
-12908,-8408,0,-682,38841,35848,1209.794,2331.615,1208.093,5185,6524,110,2327.44
-13032,-8516,0,-675,36712,33256,1209.742,2331.254,1208.007,5210,6520,114,2327.062
-13064,-8536,0,-679,39161,35112,1209.983,2332.045,1208.058,5234,6388,128,2326.718
-13076,-8488,0,-675,39289,34936,1209.966,2330.945,1208.093,5202,6656,88,2327.148
-13068,-8396,0,-736,36953,34488,1209.777,2331.134,1208.041,5303,6488,144,2327.01
-12988,-8388,0,-652,39161,37145,1209.845,2331.735,1208.763,5100,6440,88,2327.131
-13020,-8424,0,-681,39065,38057,1209.914,2331.014,1208.557,5158,6548,136,2327.457
-12848,-8528,0,-558,37881,34296,1209.948,2330.979,1208.299,4818,6476,18,2326.856
-13008,-8436,0,-708,39257,34888,1209.897,2331.581,1208.11,5294,6588,138,2327.406
-13024,-8408,0,-682,39257,35048,1209.777,2331.168,1208.161,5227,6572,155,2326.942
-12920,-8480,0,-671,37081,32007,1209.966,2331.77,1208.161,5240,6476,115,2326.787
-13000,-8456,0,-674,39289,35064,1209.931,2331.684,1208.282,5262,6532,96,2326.684
-12944,-8548,0,-651,39401,35128,1209.966,2331.392,1208.368,5251,6556,87,2326.615
-12976,-8568,65535,-625,36584,33048,1209.914,2331.048,1208.024,5209,6772,101,2326.529
-12920,-8500,0,-681,39721,35160,1210.137,2331.409,1208.282,5229,6736,143,2326.546
-12940,-8492,0,-665,39961,35400,1210.0,2330.584,1207.955,5192,6484,151,2326.856
-12876,-8496,0,-648,37529,34664,1210.052,2330.928,1208.076,5183,6616,109,2326.168
-12924,-8508,0,-699,39689,35000,1209.966,2331.701,1208.127,5255,6552,145,2326.323
-12868,-8536,0,-713,39721,35080,1210.103,2331.151,1208.041,5248,6480,109,2326.976
-12940,-8448,0,-679,37673,33400,1210.052,2331.409,1208.041,5184,6540,118,2327.32
-12960,-8392,0,-646,39689,35272,1209.897,2332.027,1208.041,5206,6592,103,2327.732
-12968,-8460,0,-655,40009,35288,1210.0,2331.203,1208.213,5216,6564,150,2327.663
-12924,-8412,0,-644,37641,33096,1209.863,2331.065,1208.144,5155,6416,175,2328.058
-12988,-8484,0,-704,39961,35080,1209.88,2331.701,1208.127,5170,6384,83,2326.77
-13084,-8476,0,-675,39929,35352,1209.966,2331.271,1207.904,5225,6420,125,2326.89
-12884,-8392,0,-637,37833,33384,1209.966,2330.808,1207.973,5222,6292,99,2326.804
-12936,-8496,0,-662,39881,35480,1209.948,2331.392,1207.99,5172,6464,86,2326.684
-12984,-8476,0,-672,39961,37033,1209.811,2330.894,1207.869,5284,6484,54,2327.491
-13016,-8456,0,-697,37385,34808,1210.103,2331.271,1207.99,5256,6472,41,2326.323
-12848,-8592,0,-708,40345,35928,1209.88,2331.752,1207.955,5188,6664,44,2326.392
-13008,-8368,0,-658,40745,36472,1209.88,2332.062,1208.127,4993,6484,182,2327.302
-12896,-8476,0,-715,37049,32920,1210.017,2331.34,1207.801,4953,6572,238,2328.454
