accel_x,accel_y,fsr_1,gyro_z,fsr_3,fsr_2,ultrasonic_1,ultrasonic_2,ultrasonic_3,gyro_x,accel_z,gyro_y,ultrasonic_4
-13088,-8256,37305,-671,28374,28775,1208.78,2316.77,1208.883,5196,6120,153,2306.787
-13096,-8240,34456,-646,26374,26934,1208.849,2314.072,1209.021,5221,6344,143,2304.966
-12992,-8268,34040,-588,30375,32519,1208.883,2314.811,1208.935,5246,6340,253,2305.223
-13120,-8604,0,-475,12515,1808,1208.917,2314.021,1209.107,5099,5856,-491,2304.88
-12184,-9940,32503,-823,38729,38921,1208.9,2314.966,1209.055,4923,5680,-245,2304.725
-13024,-8692,30711,-635,39353,39625,1208.866,2314.57,1209.055,4969,6288,94,2305.24
-12836,-8744,29719,-641,36953,36889,1208.883,2314.227,1208.935,5251,6364,80,2305.378
-12892,-8684,31351,-740,39673,38281,1208.729,2315.206,1208.917,5324,6344,180,2305.223
-13032,-8660,0,-699,23221,9986,1208.9,2314.502,18.33333,5184,6396,146,2305.55
-12912,-8324,39417,-667,29143,30631,1210.275,2315.361,1208.969,5591,6628,167,2305.137
-12952,-8308,39689,-906,30583,30807,1210.034,2314.656,1208.849,5739,6528,292,2305.292
-13040,-8364,37897,-632,28679,29607,1210.086,2314.966,1209.003,5078,6616,57,2305.429
-13000,-8452,40041,-748,30727,31463,1210.103,2315.447,1208.917,5176,6544,171,2305.275
-13040,-8416,39593,-654,30967,31543,1209.966,2314.742,1208.866,5277,6628,78,2305.773
-13016,-8408,37625,-678,29079,29447,1210.103,2316.151,1208.917,5196,6496,127,2304.897
-12940,-8312,39977,-600,31175,31127,12.93814,2314.811,1208.866,5057,6612,257,2305.275
-12876,-8324,40729,-707,31351,31223,1210.275,2314.794,1208.746,5219,6484,164,2305.447
-12880,-8344,38857,-668,29479,29735,1210.12,2315.773,1208.78,5212,6492,122,2305.55
-12880,-8372,40713,-706,31735,31671,1210.172,2316.615,1208.797,5208,6504,141,2305.636
-12960,-8424,41194,-664,31815,31463,1210.137,2316.1,1208.832,5218,6528,112,2305.739
-12960,-8464,38745,-739,29447,29527,11.56357,2315.447,1208.814,5230,6592,113,2305.808
-12888,-8460,41178,-701,32119,31063,1210.223,2316.512,1208.9,5279,6528,58,2311.048
-12888,-8416,41386,-704,31671,31271,1210.309,2317.354,1208.9,5244,6520,54,2308.402
-12896,-8448,39337,-612,30551,29399,1210.275,2321.718,1208.814,5234,6536,109,2312.096
-12992,-8420,41994,-654,32455,30679,1210.137,2319.983,1208.763,5123,6504,91,8.556701
-12944,-8524,42474,-636,32359,30823,1210.172,2321.392,1208.832,5101,6388,100,2311.563
-12884,-8364,39977,-698,30551,29735,1210.137,2316.014,1208.832,5231,6492,90,2305.739
-12948,-8396,42330,-665,32375,30999,1210.12,2323.591,1209.003,5333,6472,47,2308.625
-13108,-8348,41850,-569,31991,30391,1209.966,2317.234,1208.952,5227,6400,-11,10.25773
-12944,-8424,39529,-734,30215,27270,1210.069,2316.752,1208.832,5351,6456,101,2305.447
-12976,-8388,41530,-720,31799,29879,1210.155,2319.622,1208.952,5453,6456,114,7.783505
-12984,-8396,40825,-678,31831,30151,9.467354,2317.371,1209.003,5319,6496,106,7.800687
-13044,-8340,38745,-677,29943,28759,1209.948,2317.217,1208.797,5237,6484,90,8.47079
-12964,-8392,41322,-671,32023,31399,1210.0,2317.027,1208.729,5190,6608,148,8.453609
-12960,-8456,41690,-732,31975,30839,1210.155,2316.392,1208.591,5255,6440,198,8.625429
-12984,-8476,38921,-714,30471,29463,1210.189,2316.168,1208.694,5264,6724,79,8.316151
-12988,-8428,41914,-707,32151,31527,9.398625,2315.979,1208.66,5122,6568,207,8.402061
-13036,-8460,42330,-752,32407,30871,1209.983,2315.894,1208.917,5380,6384,188,9.432989
-12968,-8416,38633,-683,31671,28006,1210.086,2315.722,1208.66,5265,6584,122,8.831615
-12936,-8412,41706,-766,32936,30727,1210.069,2316.306,1208.814,5273,6580,191,2307.629
-12972,-8436,41978,-715,31959,30983,1210.052,2315.584,1208.78,5293,6600,152,2305.911
-13012,-8356,39737,-707,30967,28935,1210.069,2316.289,1208.917,5311,6384,107,2305.997
-12940,-8440,41594,-682,31959,30999,1210.086,2315.997,1208.986,5083,6652,203,2306.031
-12864,-8388,41962,-672,32183,31223,1210.0,2315.687,1208.883,5241,6536,161,2306.065
-12972,-8384,39545,-687,30903,29191,1210.017,2315.825,1209.003,5246,6564,111,2305.756
-13000,-8372,41834,-664,32231,31223,1209.983,2316.34,1209.467,5247,6592,100,2305.911
-12860,-8344,41786,-682,32423,31079,1210.0,2316.34,1209.124,5262,6552,130,2305.515
-12956,-8416,39481,-674,30263,29095,1210.069,2316.048,1208.591,5242,6464,111,2305.756
-12988,-8472,42026,-677,32263,31255,1209.914,2316.117,1208.625,5148,6576,107,2306.134
-13024,-8412,42074,-680,32519,30519,1209.983,2315.962,1208.625,5240,6592,105,2305.206
-12996,-8324,39785,-658,30711,29431,1210.052,2317.251,1208.832,5226,6560,111,2306.873
-12900,-8348,41898,-692,32295,31255,1210.034,2320.67,1208.677,5249,6440,109,2311.804
-12944,-8460,41978,-687,32295,31495,1210.12,2316.546,1208.66,5228,6720,144,2306.787
-13080,-8448,39993,-672,30583,29703,1210.069,2315.911,1208.883,5216,6492,137,2306.186
-12952,-8484,42042,-683,32183,31383,1210.086,2317.079,1208.9,5197,6612,162,2305.618
-13020,-8336,42266,-666,32519,31511,1210.034,2316.048,1208.797,5177,6480,169,2306.1
-13040,-8392,39769,-671,30199,29543,1210.034,2317.852,1208.694,5168,6552,161,2305.911
-12952,-8352,42250,-648,32471,31479,1210.034,2317.388,1208.78,5201,6592,71,12.30241
-12956,-8340,42170,-709,32439,31655,1210.0,2315.808,1208.832,5260,6480,92,9.175258
-12952,-8392,39769,-664,30679,30391,1210.069,2316.117,1208.677,5172,6492,103,8.831615
-12952,-8376,40745,-634,33624,33032,1210.103,2316.787,1208.711,5401,6596,53,9.054983
-12940,-8436,41738,-732,33032,32872,1210.155,2316.426,1208.866,5325,6508,83,8.762886
-12964,-8500,39609,-673,30983,30391,1210.103,2316.375,1208.608,5242,6472,129,8.762886
-13004,-8360,42298,-650,32535,31095,1210.137,2316.701,1208.522,5263,6480,111,8.762886
-13024,-8396,42250,-657,32551,31191,1210.017,2316.22,1208.591,5245,6540,101,8.745705
-13052,-8348,40121,-680,30567,29367,1210.103,2316.271,1208.694,5237,6488,93,9.278351
-12988,-8412,42650,-664,32872,31399,1209.966,2316.426,1208.643,5196,6524,133,8.848797
-13020,-8456,42602,-675,32567,31399,1210.12,2318.488,1208.866,5209,6596,146,8.797251
-12892,-8384,40313,-674,30551,29447,1210.103,2315.928,1208.505,5214,6568,144,8.831615
-12924,-8440,42250,-653,32519,31191,1209.931,2316.443,1208.694,5204,6588,130,9.261168
-13000,-8480,42362,-685,32471,31319,1210.103,2316.203,1208.591,5246,6468,97,9.226804
-13068,-8340,40201,-656,30679,29495,1210.086,2316.117,1208.643,5277,6500,132,8.780068
-13028,-8416,42682,-671,32487,30903,1210.0,2316.014,1208.711,5242,6580,120,9.278351
-13032,-8412,42458,-661,32551,30999,1210.086,2315.653,1208.677,5213,6656,108,8.831615
-13072,-8332,40441,-688,30439,29031,1210.0,2315.687,1208.763,5239,6448,121,9.261168
-13052,-8376,42554,-699,32471,31191,1210.137,2316.426,1208.78,5215,6628,85,8.814433
-12952,-8388,42490,-670,33032,30999,1210.0,2316.048,1208.883,5186,6396,127,8.814433
-12944,-8432,40377,-684,30807,29143,1210.103,2316.083,1208.935,5227,6484,104,8.848797
-13040,-8300,42522,-666,33800,29687,1210.155,2317.474,1208.694,5219,6596,144,10.01718
-13040,-8408,42538,-655,33240,30839,1210.137,2317.01,1208.711,5181,6516,61,2306.203
-12948,-8412,40633,-673,31207,28791,1210.069,2318.351,1208.608,5290,6636,75,2308.643
-12976,-8376,42970,-697,33368,30727,1210.12,2325.378,1208.66,5288,6464,97,2311.684
-12932,-8308,43002,-668,33544,31287,1210.137,2321.168,1208.643,5230,6508,97,2314.467
-12984,-8376,40569,-705,31863,28823,1210.12,2327.251,1208.591,5246,6380,109,9.639175
-13032,-8384,42842,-728,33576,29815,1210.12,2321.512,1208.488,5313,6372,112,9.553265
-12968,-8464,42714,-682,33064,30007,1210.034,2319.399,1208.608,5239,6580,94,2307.577
-13016,-8440,40217,-647,31031,28070,1210.189,2321.735,1208.54,5270,6440,77,2309.021
-13008,-8436,42762,-666,33400,30039,1210.155,2323.763,1208.677,5236,6460,132,2309.003
-12948,-8280,42746,-698,33000,30007,1210.24,2321.942,1208.505,5257,6544,123,2310.086
-12908,-8416,40425,-694,30919,28422,1209.983,2319.261,1208.729,5220,6648,93,2308.625
-12884,-8440,42746,-682,33544,30631,1210.12,2319.742,1208.505,5212,6488,77,2311.89
-12852,-8276,42170,-862,32872,30999,1210.052,2319.794,1208.505,5825,6528,356,2309.88
-13052,-8384,40233,-695,30935,28935,1210.0,2319.639,1208.557,5332,6656,98,2312.045
-13088,-8388,42762,-699,32759,30247,1210.069,2318.385,1208.625,5192,6428,120,2309.777
-13008,-8364,42426,-682,33016,30231,1210.069,2317.835,1208.711,5227,6396,114,2310.894
-13044,-8332,40377,-692,30983,28438,1210.052,2317.698,1208.505,5225,6588,122,2310.326
-13040,-8472,42746,-656,32727,30407,1210.034,2317.835,1208.505,5282,6476,124,2306.615
-12896,-8332,42730,-652,33032,30439,1210.172,2319.467,1208.643,5278,6480,97,2309.966
-13032,-8416,40185,-664,30631,28406,1210.223,2318.574,1208.54,5242,6392,103,2308.574
-13068,-8508,42730,-678,33032,30471,1209.983,2319.227,1208.454,5230,6632,104,2306.271
-12976,-8380,42554,-700,32567,30231,1210.034,2316.804,1208.574,5235,6480,121,2306.203
-13080,-8432,40185,-686,30679,28390,1209.948,2316.563,1208.608,5258,6564,97,2305.172
-13008,-8332,42650,-677,33272,30471,1209.948,2316.959,1208.625,5250,6568,106,2306.271
-12992,-8352,42458,-675,32920,30439,1210.0,2316.237,1208.66,5288,6320,104,2306.134
-12876,-8396,40505,-696,30935,28662,1210.017,2316.254,1208.608,5217,6540,112,2305.739
-12996,-8324,42682,-661,33448,30487,1209.931,2318.643,1208.574,5258,6552,106,2305.636
-12912,-8412,42650,-658,32631,30439,1209.948,2318.711,1208.557,5236,6596,104,2310.361
-13076,-8364,40409,-655,31159,28887,1209.983,2316.684,1208.574,5270,6464,92,2305.739
