accel_x,accel_y,fsr_1,gyro_z,fsr_3,fsr_2,ultrasonic_1,ultrasonic_2,ultrasonic_3,gyro_x,accel_z,gyro_y,ultrasonic_4
1139,-1203,59776,-435,59069,58687,13.050247874997702,17.1162797757212,11.376792903186765,-746,112,-734,11.985816728013937
-1508,539,58272,-1186,59074,58429,16.764875873281646,19.323681583772757,14.677894045492721,869,954,1487,13.815747095157747
-18,-1267,58234,-1545,58076,59442,13.27691162644614,10.676273540903573,15.241916274055463,-49,1498,1742,15.855728144185349
1792,289,58809,-1615,58419,58229,17.989728515486764,13.501483545861802,17.406473154955215,1737,-250,1270,16.490204928784493
1014,246,58555,325,58202,58900,13.686363046522246,17.77334398283787,17.61500717678353,-1421,-1702,-202,16.225136228832973
-1237,-1930,58977,-480,59651,58135,19.21141578423516,19.543729152245675,17.81770631080042,484,961,1718,11.976184622422554
-556,-93,58807,210,58962,59907,12.62691373138216,18.403770051381386,16.73763046002791,1926,1505,-1348,12.854561648924825
-1211,132,58956,1288,59068,59040,14.841268273020436,17.605352755655883,17.86412359861843,774,467,562,17.948783705965344
414,-1872,58865,-1867,58547,58824,18.880371013354004,19.781011813660086,17.44289850021038,-1319,351,-1816,11.268983189678671
243,1742,59302,-1923,58355,59126,17.176602519205872,10.364217027094613,16.78504114938269,-1343,1054,-725,10.6888236585064
-1176,-502,58317,962,59418,59610,10.443054286128712,14.407493414910654,17.605070331344837,1904,-1967,-1584,19.119261616210608
-310,-1548,59667,1177,59545,59465,10.391586242143994,17.805210012372577,16.666842254688717,931,1989,1465,19.155169765674614
-1706,1566,58880,315,58115,59148,16.887039464448318,17.07857563435701,12.769518086358204,387,-1952,-418,12.498713576952692
1350,1156,59432,-1006,59243,59763,10.900234306523767,15.785972510013478,14.099962721026753,-1360,-148,-19,17.56697572617921
842,857,59171,-1062,58330,58094,19.338654117188135,14.485062759714378,16.700079038156865,468,1047,-9,11.397539302339547
-1447,970,58251,-397,59562,59544,17.24195290046785,13.653482307206485,11.848501956324894,-1767,845,301,12.489498738102704
703,-507,59100,1080,59052,58427,16.52385958281804,13.436924479298074,14.82582254710228,-1137,1874,-1978,19.30903293268385
-1884,157,58819,-303,58753,59020,17.177859424813843,16.536803438021035,18.979503533481,546,-32,1330,16.433909828370766
-1099,-1711,59743,378,59052,59051,19.490678792013178,10.218668677145919,11.657209757057462,-1544,-673,-218,19.058416102450508
-1825,-799,59532,-1407,59046,59424,17.20318275354768,10.131151175417255,11.535669567462586,-763,1568,-263,11.486852640830456
