accel_x,accel_y,fsr_1,gyro_z,fsr_3,fsr_2,ultrasonic_1,ultrasonic_2,ultrasonic_3,gyro_x,accel_z,gyro_y,ultrasonic_4
-26251,-15068,58832,9722,59248,58227,8.48132841670924,5.14479416607886,6.404499353517963,2640,2485,1581,8.237138882311825
-3226,-5941,55543,5551,58335,58724,16.922996591600672,16.303880831656286,12.334840168200502,2312,1496,-1518,9.435025856220769
-5403,23148,55823,26169,57690,57299,18.33910603537608,17.58082556302048,12.659627794519492,1241,-23675,-2011,7.245260598605374
23914,10387,59733,-23816,57226,59234,12.359725259302667,18.336870123224138,7.96915880261154,-2174,-5757,-3993,6.598050994202218
19043,-10047,56529,-24383,59578,59567,6.045793934918566,9.944323027756163,15.929114292563302,4730,-25417,1241,16.25994078922694
-32510,-29168,56009,18349,59962,57499,14.07209048074343,7.742663574774484,17.646639579155067,-2163,-12629,713,18.360790313572434
-4462,23101,59600,-9382,57446,59092,19.95372606499118,8.183245559193066,18.54888328284255,-3982,16635,-4457,14.784024688414226
-13926,-18370,59698,-20675,57586,58725,11.964940653033345,10.462352501896584,9.180088055837661,-2304,5231,3835,10.845898052185767
26624,-1559,58260,-25249,55858,56306,19.272199395662735,5.569294092794298,15.248087916064993,-2229,11282,2910,14.918166684796997
-29139,-14000,57728,6365,57994,55668,13.379640916116943,15.063439794310527,14.251184572293122,4852,7865,-618,9.443079430233201
-18669,2597,56882,-20978,55619,55006,5.6544748107628635,12.643308740022103,16.529737188920546,629,-8288,-4096,8.530191293867462
31721,985,59254,-11159,56918,57916,17.69293188900051,13.437551607565556,9.921608019395741,3780,28277,-2883,19.50114946261541
-12325,7731,56963,-22580,55982,56083,7.702108346486748,5.53023563581722,18.506794600959147,-1909,4170,381,7.250304562851266
-8952,-13132,56727,-11712,57064,57990,18.754936758573024,9.682311816154897,19.550402514026956,2595,-18859,2573,14.761086502428975
-16411,-17149,57736,7642,59317,56852,5.060551572448143,19.633308046025803,8.350516916467786,-1808,31104,4588,18.16123769476319
-17847,-22278,57387,-13834,57939,57303,19.863191702317252,8.33476163708892,7.1192196816700015,-2250,11982,-957,17.145251493602288
-546,-30806,58378,15032,59672,57807,9.948275437584055,9.260970511759457,6.088782789843547,4984,-10949,3345,16.605959562778672
-22383,20832,58496,30445,58004,55947,9.336164877526507,8.638689148858163,14.513468804376398,-1035,-31212,-4542,12.783906210671185
6790,15213,58195,8796,59250,55215,7.106322414048181,12.348804220194811,15.125418810541955,-103,30898,390,17.26788436092391
3314,-30599,56239,3494,56295,56840,16.901867452957674,10.274461918523722,9.45055702122635,1300,-22604,2479,6.326704030414289
-6127,13520,56692,24833,59441,57851,11.697479212076612,12.54142966665885,17.053263588016847,-266,1257,4690,15.03358982509684
-19461,-922,57540,10977,56972,55464,5.445929372189501,12.81504408250266,10.805529540647708,-443,-23662,-4433,6.597191632587414
6101,19163,56548,-14552,56484,55686,11.965787232684873,7.878719406983218,18.260232389208888,1107,25337,1418,10.509736267816816
14068,-21550,57162,23923,56046,59717,5.333320241606669,19.42734167426842,6.612474007333519,-1265,13231,-2227,19.307551422668702
16930,20008,59019,-26231,56804,59127,7.140965290094519,5.980639431642634,16.34352509993581,-4463,-12059,4902,6.007818538678002
-17778,-32379,57241,13361,57719,57229,12.461497267472424,14.413167069442844,14.513907466158898,4782,-15774,3220,7.069938625907836
-10837,-22830,56376,10988,55155,59588,18.95019764055023,18.636010406737086,5.105798878841233,-4268,10942,3674,10.607025268964582
9516,-8255,59019,17568,55683,59033,18.35646072537601,7.4500253932506055,11.24156573331037,-475,20280,-2599,9.784914416170832
